Gene	P value	Adjusted P value	Log2 Fold Change	Cluster
LRRC25	2.225074E-308	2.225074E-308	0.641705008	CXCR2+
ADGRE2	2.225074E-308	2.225074E-308	0.640038912	CXCR2+
STEAP4	2.225074E-308	2.225074E-308	0.639631266	CXCR2+
SP3	2.225074E-308	2.225074E-308	0.639367619	CXCR2+
IL17RA	2.225074E-308	2.225074E-308	0.639276019	CXCR2+
MAPK1	2.225074E-308	2.225074E-308	0.63642604	CXCR2+
SPEN	2.225074E-308	2.225074E-308	0.635717026	CXCR2+
TPR	2.225074E-308	2.225074E-308	0.633578829	CXCR2+
SP1	2.225074E-308	2.225074E-308	0.629422652	CXCR2+
NIN	2.225074E-308	2.225074E-308	0.627992977	CXCR2+
NUP50	2.225074E-308	2.225074E-308	0.624992432	CXCR2+
LRRK2	2.225074E-308	2.225074E-308	0.624317817	CXCR2+
RNF24	2.225074E-308	2.225074E-308	0.621853606	CXCR2+
ARHGAP9	2.225074E-308	2.225074E-308	0.621828509	CXCR2+
FAM126B	2.225074E-308	2.225074E-308	0.62085921	CXCR2+
BAZ2B	2.225074E-308	2.225074E-308	0.619566015	CXCR2+
BIN2	2.225074E-308	2.225074E-308	0.612382144	CXCR2+
PPM1F	2.225074E-308	2.225074E-308	0.611547729	CXCR2+
ACTR2	2.225074E-308	2.225074E-308	0.611532733	CXCR2+
DOCK11	2.225074E-308	2.225074E-308	0.609375329	CXCR2+
XPO6	2.225074E-308	2.225074E-308	0.608853753	CXCR2+
FLOT2	2.225074E-308	2.225074E-308	0.607321961	CXCR2+
DYNC1LI1	2.225074E-308	2.225074E-308	0.605930748	CXCR2+
MNDA	2.225074E-308	2.225074E-308	0.60587999	CXCR2+
PKN2	2.225074E-308	2.225074E-308	0.60180435	CXCR2+
APBB1IP	2.225074E-308	2.225074E-308	0.601776973	CXCR2+
SPOPL	2.225074E-308	2.225074E-308	0.600964039	CXCR2+
SNX6	2.225074E-308	2.225074E-308	0.599933912	CXCR2+
07-Mar	2.225074E-308	2.225074E-308	0.596736143	CXCR2+
CRLF3	2.225074E-308	2.225074E-308	0.59324722	CXCR2+
MAPK3	2.225074E-308	2.225074E-308	0.592799758	CXCR2+
MAPK14	2.225074E-308	2.225074E-308	0.592423713	CXCR2+
CLEC12A	2.225074E-308	2.225074E-308	0.591259513	CXCR2+
RGS18	2.225074E-308	2.225074E-308	0.589013674	CXCR2+
TRANK1	2.225074E-308	2.225074E-308	0.588511291	CXCR2+
CBL	2.225074E-308	2.225074E-308	0.584955851	CXCR2+
RIPOR2	2.225074E-308	2.225074E-308	0.584923701	CXCR2+
RAB3D	2.225074E-308	2.225074E-308	0.584614198	CXCR2+
NFAM1	2.225074E-308	2.225074E-308	0.584571828	CXCR2+
LYN	2.225074E-308	2.225074E-308	0.581797058	CXCR2+
PIP4P2	2.225074E-308	2.225074E-308	0.580446626	CXCR2+
PHF3	2.225074E-308	2.225074E-308	0.578807977	CXCR2+
STX7	2.225074E-308	2.225074E-308	0.577954069	CXCR2+
MEGF9	2.225074E-308	2.225074E-308	0.577130911	CXCR2+
ANKRD44	2.225074E-308	2.225074E-308	0.576282946	CXCR2+
PTPN6	2.225074E-308	2.225074E-308	0.576082732	CXCR2+
ALPL	2.225074E-308	2.225074E-308	0.576027756	CXCR2+
SLC8A1	2.225074E-308	2.225074E-308	0.571916128	CXCR2+
ATP6V1A	2.225074E-308	2.225074E-308	0.568844802	CXCR2+
PRKAR1A	2.225074E-308	2.225074E-308	0.567577615	CXCR2+
MSRB1	2.225074E-308	2.225074E-308	0.567442556	CXCR2+
CARD8	2.225074E-308	2.225074E-308	0.566595375	CXCR2+
ELOVL5	2.225074E-308	2.225074E-308	0.566372404	CXCR2+
FYB1	2.225074E-308	2.225074E-308	0.565173088	CXCR2+
JAK3	2.225074E-308	2.225074E-308	0.563818864	CXCR2+
TNFSF10	2.225074E-308	2.225074E-308	0.56369199	CXCR2+
MGAM	2.225074E-308	2.225074E-308	0.562037605	CXCR2+
YIPF4	2.225074E-308	2.225074E-308	0.560595508	CXCR2+
TMEM43	2.225074E-308	2.225074E-308	0.558716884	CXCR2+
RASSF2	2.225074E-308	2.225074E-308	0.558610976	CXCR2+
GNAQ	2.225074E-308	2.225074E-308	0.557637078	CXCR2+
NCOA1	2.225074E-308	2.225074E-308	0.556726295	CXCR2+
VCPIP1	2.225074E-308	2.225074E-308	0.556223516	CXCR2+
CASP8	2.225074E-308	2.225074E-308	0.556125562	CXCR2+
RHOQ	2.225074E-308	2.225074E-308	0.554950711	CXCR2+
BOD1L1	2.225074E-308	2.225074E-308	0.553563208	CXCR2+
07-Sep	2.225074E-308	2.225074E-308	0.552772239	CXCR2+
NRBF2	2.225074E-308	2.225074E-308	0.552625874	CXCR2+
CCNG2	2.225074E-308	2.225074E-308	0.551593137	CXCR2+
FAM120A	2.225074E-308	2.225074E-308	0.5513386	CXCR2+
CCPG1	2.225074E-308	2.225074E-308	0.546377235	CXCR2+
WASF2	2.225074E-308	2.225074E-308	0.546292659	CXCR2+
AKNA	2.225074E-308	2.225074E-308	0.544629252	CXCR2+
ENTPD1	2.225074E-308	2.225074E-308	0.544352556	CXCR2+
VNN2	2.225074E-308	2.225074E-308	0.543166635	CXCR2+
PTPRC	2.225074E-308	2.225074E-308	0.540946776	CXCR2+
MKNK2	2.225074E-308	2.225074E-308	0.540479366	CXCR2+
PJA2	2.225074E-308	2.225074E-308	0.53769127	CXCR2+
TSEN34	2.225074E-308	2.225074E-308	0.534017922	CXCR2+
SNX27	2.225074E-308	2.225074E-308	0.52557685	CXCR2+
PTBP3	2.225074E-308	2.225074E-308	0.525044708	CXCR2+
PPP1R12A	2.225074E-308	2.225074E-308	0.524177024	CXCR2+
UBE2J1	2.225074E-308	2.225074E-308	0.522861753	CXCR2+
PPP3CA	2.225074E-308	2.225074E-308	0.522641131	CXCR2+
PTAFR	2.225074E-308	2.225074E-308	0.521812817	CXCR2+
RICTOR	2.225074E-308	2.225074E-308	0.519440969	CXCR2+
LILRB3	2.225074E-308	2.225074E-308	0.518280578	CXCR2+
PYGL	2.225074E-308	2.225074E-308	0.515584652	CXCR2+
FBXL5	2.225074E-308	2.225074E-308	0.510555825	CXCR2+
PLXNC1	2.225074E-308	2.225074E-308	0.509542423	CXCR2+
TLN1	2.225074E-308	2.225074E-308	0.509209964	CXCR2+
TM9SF2	2.225074E-308	2.225074E-308	0.508251793	CXCR2+
CEBPD	2.225074E-308	2.225074E-308	0.504843783	CXCR2+
TET2	2.225074E-308	2.225074E-308	0.504146103	CXCR2+
DPYD	2.225074E-308	2.225074E-308	0.503368053	CXCR2+
ABHD2	2.225074E-308	2.225074E-308	0.50196241	CXCR2+
IL13RA1	2.225074E-308	2.225074E-308	0.501751466	CXCR2+
RNF141	2.225074E-308	2.225074E-308	0.500366727	CXCR2+
ATG16L2	2.225074E-308	2.225074E-308	0.496248599	CXCR2+
GCA	2.225074E-308	2.225074E-308	0.495157017	CXCR2+
SET	2.225074E-308	2.225074E-308	0.494515894	CXCR2+
FAM8A1	2.225074E-308	2.225074E-308	0.491649864	CXCR2+
SRPK2	2.225074E-308	2.225074E-308	0.491506092	CXCR2+
OSBPL8	2.225074E-308	2.225074E-308	0.489302351	CXCR2+
MBOAT7	2.225074E-308	2.225074E-308	0.486523938	CXCR2+
PHF21A	2.225074E-308	2.225074E-308	0.48470591	CXCR2+
MME	2.225074E-308	2.225074E-308	0.484330022	CXCR2+
KMT2C	2.225074E-308	2.225074E-308	0.481297709	CXCR2+
YY1	2.225074E-308	2.225074E-308	0.480788573	CXCR2+
ACTN4	2.225074E-308	2.225074E-308	0.478355666	CXCR2+
DOCK8	2.225074E-308	2.225074E-308	0.477310988	CXCR2+
UBXN2B	2.225074E-308	2.225074E-308	0.477296893	CXCR2+
WNK1	2.225074E-308	2.225074E-308	0.473526101	CXCR2+
TNRC6B	2.225074E-308	2.225074E-308	0.469430581	CXCR2+
ARHGAP30	2.225074E-308	2.225074E-308	0.4682033	CXCR2+
SF3B1	2.225074E-308	2.225074E-308	0.466947424	CXCR2+
RGS2	2.225074E-308	2.225074E-308	0.466531894	CXCR2+
ASAP1	2.225074E-308	2.225074E-308	0.465348768	CXCR2+
SCAF11	2.225074E-308	2.225074E-308	0.464749455	CXCR2+
ARHGDIB	2.225074E-308	2.225074E-308	0.464634877	CXCR2+
KIAA0040	2.225074E-308	2.225074E-308	0.464463123	CXCR2+
RALBP1	2.225074E-308	2.225074E-308	0.463426181	CXCR2+
OAZ2	2.225074E-308	2.225074E-308	0.462721673	CXCR2+
NUFIP2	2.225074E-308	2.225074E-308	0.46219274	CXCR2+
MSN	2.225074E-308	2.225074E-308	0.461001714	CXCR2+
CHMP3	2.225074E-308	2.225074E-308	0.459965278	CXCR2+
PBX2	2.225074E-308	2.225074E-308	0.459641501	CXCR2+
IFNAR1	2.225074E-308	2.225074E-308	0.458293484	CXCR2+
RBMS1	2.225074E-308	2.225074E-308	0.457775319	CXCR2+
ATRX	2.225074E-308	2.225074E-308	0.457556642	CXCR2+
LPGAT1	2.225074E-308	2.225074E-308	0.454541941	CXCR2+
NMI	2.225074E-308	2.225074E-308	0.450020471	CXCR2+
CMIP	2.225074E-308	2.225074E-308	0.449826808	CXCR2+
CTSS	2.225074E-308	2.225074E-308	0.449073541	CXCR2+
VMP1	2.225074E-308	2.225074E-308	0.447966272	CXCR2+
PRKCB	2.225074E-308	2.225074E-308	0.447506875	CXCR2+
KAT6A	2.225074E-308	2.225074E-308	0.445631232	CXCR2+
APOBR	2.225074E-308	2.225074E-308	0.44501671	CXCR2+
RASSF3	2.225074E-308	2.225074E-308	0.443613636	CXCR2+
MIDN	2.225074E-308	2.225074E-308	0.442248093	CXCR2+
PICALM	2.225074E-308	2.225074E-308	0.442200237	CXCR2+
RAD21	2.225074E-308	2.225074E-308	0.441568259	CXCR2+
ANKRD13A	2.225074E-308	2.225074E-308	0.441475787	CXCR2+
GLT1D1	2.225074E-308	2.225074E-308	0.441345823	CXCR2+
WAS	2.225074E-308	2.225074E-308	0.437986001	CXCR2+
MMP25	2.225074E-308	2.225074E-308	0.435480453	CXCR2+
KLF3	2.225074E-308	2.225074E-308	0.435163926	CXCR2+
IL6R	2.225074E-308	2.225074E-308	0.433744344	CXCR2+
CHST15	2.225074E-308	2.225074E-308	0.433530215	CXCR2+
SSH2	2.225074E-308	2.225074E-308	0.431738263	CXCR2+
RAB11FIP1	2.225074E-308	2.225074E-308	0.43047078	CXCR2+
KCNJ15	2.225074E-308	2.225074E-308	0.430045443	CXCR2+
CCND3	2.225074E-308	2.225074E-308	0.428992805	CXCR2+
MEFV	2.225074E-308	2.225074E-308	0.427041769	CXCR2+
ACTN1	2.225074E-308	2.225074E-308	0.426662512	CXCR2+
MYO1F	2.225074E-308	2.225074E-308	0.424981608	CXCR2+
RBM47	2.225074E-308	2.225074E-308	0.421817127	CXCR2+
CAPZA1	2.225074E-308	2.225074E-308	0.418891477	CXCR2+
MED13L	2.225074E-308	2.225074E-308	0.418734579	CXCR2+
GRB2	2.225074E-308	2.225074E-308	0.417942026	CXCR2+
ITGB2	2.225074E-308	2.225074E-308	0.414395211	CXCR2+
SKAP2	2.225074E-308	2.225074E-308	0.413208884	CXCR2+
TGOLN2	2.225074E-308	2.225074E-308	0.413173529	CXCR2+
OGFRL1	2.225074E-308	2.225074E-308	0.412484073	CXCR2+
FCGR2A	2.225074E-308	2.225074E-308	0.412125816	CXCR2+
IKZF1	2.225074E-308	2.225074E-308	0.411862427	CXCR2+
HSD17B11	2.225074E-308	2.225074E-308	0.409187919	CXCR2+
C16orf54	2.225074E-308	2.225074E-308	0.409022713	CXCR2+
SIRPB1	2.225074E-308	2.225074E-308	0.407973556	CXCR2+
TLR4	2.225074E-308	2.225074E-308	0.406691777	CXCR2+
MTPN	2.225074E-308	2.225074E-308	0.406041291	CXCR2+
LILRA2	2.225074E-308	2.225074E-308	0.400861666	CXCR2+
CCNDBP1	2.225074E-308	2.225074E-308	0.400706516	CXCR2+
MDM2	2.225074E-308	2.225074E-308	0.400166699	CXCR2+
SP110	2.225074E-308	2.225074E-308	0.395760877	CXCR2+
FKBP5	2.225074E-308	2.225074E-308	0.393515348	CXCR2+
NRDC	2.225074E-308	2.225074E-308	0.391319968	CXCR2+
PIAS1	2.225074E-308	2.225074E-308	0.391147833	CXCR2+
MIER1	2.225074E-308	2.225074E-308	0.389066703	CXCR2+
DOCK5	2.225074E-308	2.225074E-308	0.387885242	CXCR2+
CD46	2.225074E-308	2.225074E-308	0.387586537	CXCR2+
PAK2	2.225074E-308	2.225074E-308	0.387256366	CXCR2+
NUMB	2.225074E-308	2.225074E-308	0.385718216	CXCR2+
CELF2	2.225074E-308	2.225074E-308	0.384131164	CXCR2+
EVI2B	2.225074E-308	2.225074E-308	0.381143301	CXCR2+
ARRB2	2.225074E-308	2.225074E-308	0.375595174	CXCR2+
ARPC5	2.225074E-308	2.225074E-308	0.373293869	CXCR2+
WIPF1	2.225074E-308	2.225074E-308	0.373133795	CXCR2+
WAC	2.225074E-308	2.225074E-308	0.371406728	CXCR2+
RHOG	2.225074E-308	2.225074E-308	0.370539667	CXCR2+
ERGIC1	2.225074E-308	2.225074E-308	0.368485015	CXCR2+
LASP1	2.225074E-308	2.225074E-308	0.366483056	CXCR2+
TMEM154	2.225074E-308	2.225074E-308	0.366366059	CXCR2+
SEMA4D	2.225074E-308	2.225074E-308	0.365101601	CXCR2+
CYTH4	2.225074E-308	2.225074E-308	0.359189264	CXCR2+
ROCK1	2.225074E-308	2.225074E-308	0.358025896	CXCR2+
PSMA3-AS1	2.225074E-308	2.225074E-308	0.357504062	CXCR2+
DENND3	2.225074E-308	2.225074E-308	0.35318741	CXCR2+
UBE2R2	2.225074E-308	2.225074E-308	0.353101802	CXCR2+
PHC2	2.225074E-308	2.225074E-308	0.352998278	CXCR2+
TKT	2.225074E-308	2.225074E-308	0.350607769	CXCR2+
RAP1A	2.225074E-308	2.225074E-308	0.348957109	CXCR2+
MBP	2.225074E-308	2.225074E-308	0.345795778	CXCR2+
BCL6	2.225074E-308	2.225074E-308	0.345691217	CXCR2+
ALOX5	2.225074E-308	2.225074E-308	0.34429727	CXCR2+
SH3GLB1	2.225074E-308	2.225074E-308	0.334153264	CXCR2+
IGSF6	2.225074E-308	2.225074E-308	0.333016074	CXCR2+
RAF1	2.225074E-308	2.225074E-308	0.332946713	CXCR2+
LRRFIP1	2.225074E-308	2.225074E-308	0.332710087	CXCR2+
RALB	2.225074E-308	2.225074E-308	0.332302464	CXCR2+
SELL	2.225074E-308	2.225074E-308	0.328994069	CXCR2+
STK4	2.225074E-308	2.225074E-308	0.327482817	CXCR2+
YWHAB	2.225074E-308	2.225074E-308	0.325976412	CXCR2+
LYST	2.225074E-308	2.225074E-308	0.325235532	CXCR2+
TUBA1A	2.225074E-308	2.225074E-308	0.323114782	CXCR2+
RNF130	2.225074E-308	2.225074E-308	0.322195602	CXCR2+
IQGAP1	2.225074E-308	2.225074E-308	0.319550246	CXCR2+
RTN3	2.225074E-308	2.225074E-308	0.319150084	CXCR2+
ICAM3	2.225074E-308	2.225074E-308	0.318716746	CXCR2+
PTEN	2.225074E-308	2.225074E-308	0.314041736	CXCR2+
DOK3	2.225074E-308	2.225074E-308	0.313530408	CXCR2+
RXRA	2.225074E-308	2.225074E-308	0.31217576	CXCR2+
TALDO1	2.225074E-308	2.225074E-308	0.305504117	CXCR2+
ZDHHC18	2.225074E-308	2.225074E-308	0.303229582	CXCR2+
CASP4	2.225074E-308	2.225074E-308	0.300467714	CXCR2+
ZYX	2.225074E-308	2.225074E-308	0.30017886	CXCR2+
SMAP2	2.225074E-308	2.225074E-308	0.298486933	CXCR2+
SNX10	2.225074E-308	2.225074E-308	0.297735765	CXCR2+
MOB3A	2.225074E-308	2.225074E-308	0.295452049	CXCR2+
ADAM8	2.225074E-308	2.225074E-308	0.294067988	CXCR2+
ANXA11	2.225074E-308	2.225074E-308	0.293941043	CXCR2+
NUP214	2.225074E-308	2.225074E-308	0.290147463	CXCR2+
RAB31	2.225074E-308	2.225074E-308	0.284619784	CXCR2+
GNAI2	2.225074E-308	2.225074E-308	0.284024461	CXCR2+
ABTB1	2.225074E-308	2.225074E-308	0.281824726	CXCR2+
ARPC2	2.225074E-308	2.225074E-308	0.281529624	CXCR2+
YPEL3	2.225074E-308	2.225074E-308	0.280627164	CXCR2+
RNASET2	2.225074E-308	2.225074E-308	0.279833719	CXCR2+
USP15	2.225074E-308	2.225074E-308	0.279754621	CXCR2+
CORO1A	2.225074E-308	2.225074E-308	0.279324414	CXCR2+
NCF2	2.225074E-308	2.225074E-308	0.270085822	CXCR2+
IGF2R	2.225074E-308	2.225074E-308	0.266154725	CXCR2+
LAMP2	2.225074E-308	2.225074E-308	0.262401183	CXCR2+
SERINC1	2.225074E-308	2.225074E-308	0.262319979	CXCR2+
CAP1	2.225074E-308	2.225074E-308	0.259843519	CXCR2+
CLEC7A	2.225074E-308	2.225074E-308	0.259051579	CXCR2+
CDKN2D	2.225074E-308	2.225074E-308	0.25804629	CXCR2+
PSAP	2.225074E-308	2.225074E-308	0.256883823	CXCR2+
AIF1	2.225074E-308	2.225074E-308	0.255792132	CXCR2+
EP300	2.225074E-308	2.225074E-308	0.255227363	CXCR2+
DDX17	2.225074E-308	2.225074E-308	0.250128638	CXCR2+
ABHD3	1.02E-307	2.58E-303	0.554885365	CXCR2+
NBR1	2.25E-307	5.72E-303	0.666708452	CXCR2+
CDC123	4.95E-307	1.26E-302	0.486152393	CXCR2+
N4BP2L2	5.57E-307	1.41E-302	0.313329356	CXCR2+
RGS19	1.84E-306	4.66E-302	0.316291755	CXCR2+
TRIM8	3.20E-306	8.12E-302	0.597107722	CXCR2+
EGLN1	6.28E-305	1.59E-300	0.576074033	CXCR2+
GLRX	1.21E-304	3.06E-300	0.284251488	CXCR2+
UBN1	1.91E-304	4.84E-300	0.411009443	CXCR2+
SEMA4A	1.71E-303	4.33E-299	0.551756273	CXCR2+
CCNY	1.75E-303	4.44E-299	0.590543831	CXCR2+
KIDINS220	4.58E-303	1.16E-298	0.61235029	CXCR2+
ATF6	2.52E-302	6.39E-298	0.544132155	CXCR2+
MANSC1	2.17E-301	5.51E-297	0.653078928	CXCR2+
PACS1	5.83E-301	1.48E-296	0.559048614	CXCR2+
ARID4B	5.64E-300	1.43E-295	0.254020006	CXCR2+
APAF1	3.92E-299	9.96E-295	0.645175061	CXCR2+
PRKACA	5.86E-299	1.49E-294	0.618787948	CXCR2+
SYK	3.53E-296	8.95E-292	0.614512808	CXCR2+
PPP1R18	1.52E-295	3.87E-291	0.251265104	CXCR2+
HSDL2	1.97E-295	4.99E-291	0.446479632	CXCR2+
PLCG2	9.52E-294	2.42E-289	0.271811392	CXCR2+
DYSF	1.22E-293	3.10E-289	0.320857545	CXCR2+
CELF1	1.68E-293	4.26E-289	0.673345797	CXCR2+
TBC1D1	2.43E-293	6.18E-289	0.530476647	CXCR2+
PRRG4	5.69E-293	1.45E-288	0.716543642	CXCR2+
INPP5D	1.46E-292	3.72E-288	0.470330778	CXCR2+
MAP2K4	1.91E-291	4.86E-287	0.670363021	CXCR2+
RASGRP4	3.03E-291	7.69E-287	0.569277184	CXCR2+
BAZ2A	1.96E-290	4.98E-286	0.44714493	CXCR2+
LPAR2	3.92E-290	9.95E-286	0.455200939	CXCR2+
TAOK1	5.63E-290	1.43E-285	0.574362311	CXCR2+
DAPP1	9.08E-290	2.30E-285	0.333354791	CXCR2+
FMNL1	3.98E-287	1.01E-282	0.274173492	CXCR2+
APMAP	1.56E-286	3.96E-282	0.490589485	CXCR2+
PADI2	4.50E-286	1.14E-281	0.523278116	CXCR2+
PHF12	3.10E-285	7.86E-281	0.486945602	CXCR2+
CTBS	8.21E-285	2.08E-280	0.283526621	CXCR2+
COL4A3BP	2.41E-283	6.12E-279	0.69831881	CXCR2+
F11R	3.62E-282	9.20E-278	0.61294599	CXCR2+
PPP1R3B	1.45E-281	3.68E-277	0.293215828	CXCR2+
CDK19	4.09E-281	1.04E-276	0.674306313	CXCR2+
IMPDH1	1.46E-280	3.72E-276	0.496647473	CXCR2+
APOL2	2.36E-280	6.00E-276	0.647488736	CXCR2+
DEK	3.24E-280	8.23E-276	0.431655699	CXCR2+
NCOR1	1.88E-278	4.78E-274	0.608462623	CXCR2+
GRK2	2.02E-278	5.14E-274	0.44197159	CXCR2+
STX16	4.97E-278	1.26E-273	0.524565662	CXCR2+
PLBD1	5.85E-278	1.49E-273	0.458894334	CXCR2+
UHRF1BP1L	6.29E-278	1.60E-273	0.7343812	CXCR2+
TMEM33	7.78E-278	1.98E-273	0.568076294	CXCR2+
TMEM30A	1.53E-277	3.89E-273	0.45335373	CXCR2+
STXBP5	1.92E-277	4.88E-273	0.595961674	CXCR2+
BPTF	2.37E-274	6.03E-270	0.554003454	CXCR2+
ORAI2	8.81E-274	2.24E-269	0.384660282	CXCR2+
RNF166	3.42E-273	8.68E-269	0.543308957	CXCR2+
KDM5A	1.10E-272	2.79E-268	0.451217511	CXCR2+
BAZ1A	1.21E-272	3.08E-268	0.317251692	CXCR2+
ZNF516	1.52E-272	3.85E-268	0.746065668	CXCR2+
SIGLEC10	2.06E-272	5.22E-268	0.689331881	CXCR2+
RAB5B	2.71E-271	6.87E-267	0.641728711	CXCR2+
KREMEN1	4.90E-269	1.24E-264	0.656738959	CXCR2+
CYP4F3	6.54E-269	1.66E-264	0.300606222	CXCR2+
PRPF38B	8.51E-269	2.16E-264	0.346129141	CXCR2+
SIRPA	1.56E-268	3.97E-264	0.341936787	CXCR2+
PPP2R5A	1.90E-268	4.83E-264	0.398584321	CXCR2+
SNRK	3.87E-267	9.83E-263	0.273938351	CXCR2+
PCMTD1	2.80E-266	7.12E-262	0.270278922	CXCR2+
ZMAT2	1.21E-264	3.06E-260	0.358774563	CXCR2+
RBM5	2.82E-263	7.15E-259	0.42876576	CXCR2+
CPQ	7.33E-263	1.86E-258	0.261408907	CXCR2+
EPB41	5.75E-262	1.46E-257	0.527525524	CXCR2+
NOTCH2	2.95E-261	7.50E-257	0.480607503	CXCR2+
BTN3A1	4.85E-261	1.23E-256	0.544932982	CXCR2+
NSFL1C	1.65E-259	4.19E-255	0.512947023	CXCR2+
CSF3R	9.52E-259	2.42E-254	0.283516707	CXCR2+
ALPK1	2.57E-258	6.51E-254	0.335416636	CXCR2+
RNF44	3.52E-257	8.95E-253	0.53751717	CXCR2+
XRCC5	7.79E-257	1.98E-252	0.328885052	CXCR2+
STK38	1.51E-256	3.84E-252	0.553297484	CXCR2+
AMD1	2.80E-256	7.12E-252	0.449268156	CXCR2+
BTN2A1	3.27E-254	8.30E-250	0.456363411	CXCR2+
RAB27A	2.05E-253	5.19E-249	0.421929665	CXCR2+
TUT7	4.03E-253	1.02E-248	0.261887384	CXCR2+
LEPROT	8.85E-253	2.25E-248	0.595768233	CXCR2+
SLC12A9	1.46E-252	3.70E-248	0.600998121	CXCR2+
RBM23	1.03E-250	2.61E-246	0.311643599	CXCR2+
ARHGEF40	1.04E-249	2.64E-245	0.274346561	CXCR2+
CAB39	1.38E-249	3.49E-245	0.496970716	CXCR2+
MBOAT2	5.96E-249	1.51E-244	0.461915045	CXCR2+
DGLUCY	1.18E-247	3.00E-243	0.449209185	CXCR2+
KCNE3	2.02E-247	5.13E-243	0.733006026	CXCR2+
LAT2	1.17E-246	2.97E-242	0.252898672	CXCR2+
BTN3A2	4.67E-246	1.19E-241	0.742510602	CXCR2+
DUSP6	4.27E-245	1.08E-240	0.526700278	CXCR2+
ANKRD13D	1.83E-244	4.64E-240	0.435036499	CXCR2+
CLIP1	1.91E-244	4.86E-240	0.517907009	CXCR2+
KIAA0232	2.26E-244	5.74E-240	0.423604857	CXCR2+
C1RL	3.17E-243	8.05E-239	0.743084135	CXCR2+
DPEP2	5.61E-243	1.43E-238	0.388841124	CXCR2+
XRN2	3.06E-242	7.78E-238	0.494028523	CXCR2+
SCLT1	9.39E-242	2.39E-237	0.478614372	CXCR2+
AMPD2	1.01E-241	2.56E-237	0.387534088	CXCR2+
RAB14	1.55E-241	3.92E-237	0.49544819	CXCR2+
LSM14A	4.06E-241	1.03E-236	0.530346523	CXCR2+
PPTC7	9.50E-241	2.41E-236	0.439147513	CXCR2+
PARP9	1.58E-239	4.00E-235	0.271714932	CXCR2+
SHISA5	2.88E-237	7.30E-233	0.256994474	CXCR2+
ATF7IP	1.62E-236	4.10E-232	0.516281323	CXCR2+
REPS2	1.80E-236	4.58E-232	0.456884628	CXCR2+
PCNX1	3.86E-236	9.81E-232	0.259025897	CXCR2+
DDX6	9.58E-236	2.43E-231	0.357197594	CXCR2+
HIP1	1.44E-234	3.66E-230	0.457337025	CXCR2+
PAPOLA	1.61E-234	4.09E-230	0.328402519	CXCR2+
KIF5B	1.96E-234	4.97E-230	0.381064212	CXCR2+
FTH1P20	4.17E-234	1.06E-229	0.433190878	CXCR2+
MAT2B	1.18E-233	3.00E-229	0.505455255	CXCR2+
ARHGAP27	2.69E-233	6.84E-229	0.637709325	CXCR2+
HIPK1	3.60E-233	9.14E-229	0.282299234	CXCR2+
ANTXR2	1.03E-232	2.62E-228	0.450098905	CXCR2+
UPF2	1.22E-232	3.10E-228	0.444254719	CXCR2+
DSC2	1.85E-232	4.69E-228	0.436834614	CXCR2+
E2F3	2.76E-232	7.02E-228	0.330553123	CXCR2+
ST20	6.39E-232	1.62E-227	0.354485103	CXCR2+
PAIP2	9.76E-232	2.48E-227	0.264200238	CXCR2+
FGD3	1.00E-231	2.54E-227	0.282387963	CXCR2+
PHIP	1.77E-231	4.50E-227	0.255983442	CXCR2+
PACSIN2	1.16E-230	2.95E-226	0.389979418	CXCR2+
MAP3K3	1.80E-230	4.56E-226	0.503222226	CXCR2+
LPIN2	3.94E-230	1.00E-225	0.385874795	CXCR2+
PUM2	4.11E-230	1.04E-225	0.389631796	CXCR2+
PSMB8-AS1	4.59E-230	1.16E-225	0.607497961	CXCR2+
SLK	5.91E-230	1.50E-225	0.404748143	CXCR2+
KRT23	9.62E-230	2.44E-225	0.557030795	CXCR2+
TP53INP1	2.20E-229	5.60E-225	0.421469628	CXCR2+
PTTG1IP	8.46E-229	2.15E-224	0.345189299	CXCR2+
OSTF1	1.30E-228	3.31E-224	0.329355936	CXCR2+
IMPA2	1.56E-228	3.97E-224	0.685676467	CXCR2+
LYSMD2	1.11E-227	2.83E-223	0.5808618	CXCR2+
SOS2	2.24E-227	5.69E-223	0.365100054	CXCR2+
CASS4	5.30E-226	1.35E-221	0.335359125	CXCR2+
WWC3	1.33E-225	3.37E-221	0.645860262	CXCR2+
PDCD10	8.14E-225	2.07E-220	0.766599441	CXCR2+
RYBP	1.27E-224	3.24E-220	0.400505594	CXCR2+
ARPC1B	5.13E-224	1.30E-219	0.297899134	CXCR2+
SRSF4	6.53E-224	1.66E-219	0.409300854	CXCR2+
PBXIP1	6.68E-224	1.70E-219	0.590295338	CXCR2+
GSN	1.98E-223	5.04E-219	0.348460281	CXCR2+
SYNE2	5.38E-223	1.37E-218	0.509191124	CXCR2+
ACSL4	1.02E-222	2.59E-218	0.363402024	CXCR2+
ATP11A	1.02E-222	2.59E-218	0.555830949	CXCR2+
TMEM71	1.27E-221	3.23E-217	0.294837594	CXCR2+
SPG11	2.91E-221	7.38E-217	0.530313955	CXCR2+
LIN7A	5.94E-221	1.51E-216	0.503770906	CXCR2+
CREBBP	1.21E-220	3.07E-216	0.288682483	CXCR2+
SNAP23	1.76E-220	4.48E-216	0.36156388	CXCR2+
ARGLU1	7.32E-220	1.86E-215	0.342645163	CXCR2+
AGTPBP1	3.60E-219	9.15E-215	0.297332768	CXCR2+
